Title,Company,Location
IT Operations Senior Analyst - Infrastructure (all genders),Accenture,Zürich
"Cross Functional Financial Analyst (Aspire backfill, temp. until 31.10.2026)",F. Hoffmann-La Roche AG,Rotkreuz
Senior Analyst / Associate in Venture Building and Innovation Strategy,Fusion Partners SA,Geneva
"IT Business Analyst - Public Services (part-time possible, all genders)",Accenture,Zürich
EMBARK Program: Senior IT Business Analyst Financial Services (part-time possible),Accenture,Zurich
Fund Portfolio Analyst - GL B - Temporary or Defined duration positions (Evergreen vacancy),"The Global Fund to fight Aids, Tuberculosis and Malaria",Le Grand-Saconnex
Senior IoT Data Scientist,Sensirion AG,Stäfa
"Business Analyst / Consultant, Technologie & Transformation in der öffentlichen Verwaltung",Deloitte AG,Bern
Cloud Business Analyst/Consultant,Deloitte AG,Zürich
Lead Data Scientist (Insurance) - BCG X,Boston Consulting Group AG (Switzerland),Zurich
No title available,No company available,No location available
No title available,D ONE Value Creation AG,Zürich
Senior IoT Data Scientist (m/w/d),Sensirion AG,Stäfa
Senior Data Scientist - (AI / ML Omics Data - Immunology),Novartis AG,Basel (City)
No title available,No company available,No location available
Medical Data Scientist / Statistician (Full time - Remote Europe),Ikerian AG,Bern
eCommerce Product Data Specialist (maternity cover 9 months) - Vans,VF International Sagl,EMEA &gt; CHE &gt; Stabio &gt; VF Campus VF1
ICT Data Scientist (W/M/D) Würth Management AG,Panorama Hotel und Service GmbH,Rorschach
Data Scientist / Reporting Specialist (w/m/d) Teilzeit/Vollzeit50 - 100 %,Helvetia Versicherungen AG,St. Gallen
(Senior) Power Platform Expert & Data Scientist (all genders) 50-80%,AXA Versicherungen AG,Winterthur
Stagiaire Data Scientist pour la génération de défauts visuels par intelligence artificielle (H/F),ROLEX SA,Stage
"Quantitative Analyst, Power & Gas",Gunvor SA,Geneva
Project Manager,Data Migration International AG,Aarau
IT SOLUTIONSSALES EXECUTIVE,Data Migration International AG,Kreuzlingen
Global Procurement Infrastructure & Enablement Specialist for a fixed-term contract for 11 months 100% (f/m/d),Bank Julius Bär & Co. AG,Zürich
Analyst/Associate – Nextech Invest,Nextech Invest AG,Zürich
Incident Responder (Senior),InfoGuard AG,Baar
"Software Developer (m/w/d), 80-100%",FIRST ADVISORY TRUST REG.,Zürich;
Incident Responder (Senior) Germany,InfoGuard AG,München
Incident Responder (Senior) Austria,InfoGuard AG,Vienna
Senior Engineer / Developer - ServiceNow,Dentsu International Switzerland AG,Geneva - 20 Quai Ernest - Ansermet
Senior Business Intelligence Consultant | Join our Talent Community,Dentsu International Switzerland AG,Geneva - 20 Quai Ernest - Ansermet
No title available,No company available,No location available
No title available,Dentsu International Switzerland AG,Zürich - Giessereistrasse 18
"Praktikum CRM Analytics, 90-100%",COOP,Basel
Senior PeopleSoft Administrator,Dentsu International Switzerland AG,Geneva - 20 Quai Ernest - Ansermet
No title available,No company available,No location available
Senior Salesforce Solution Architect,Dentsu International Switzerland AG,Geneva - 20 Quai Ernest - Ansermet
Entry-level position (80 - 100%) for bioimage analysis specialist at the Imaging Core Facility (IMCF,Universität Basel,Basel
🟢 Senior PL/SQL Developer with Avaloq experience and/or certification,Ayaval AG,Zug
Business Analyst/Requirements Engineer (m/w) 80-100 %,e3 ag,Zürich
"Ayaval is an associate implementation partner of Avaloq! Make your IT investments deliver continuous value and performance for banking technology. Increase revenues, improve partner relationships and reduce operating costs.",Ayaval AG,Baar
Business Engineer – E-Banking (80-100%),Vontobel Beteiligungen AG,Zurich
Prime Named Account Executive,salesforce.com Sàrl,Switzerland - Zurich
"Fund Accounting & Administration Analyst, Associate 2",State Street Global Advisors AG,"Zurich, Switzerland"
"Engineering Lead (remote, m/f/d)",SkyCell AG,Zurich
Prime Named Account Executive MuleSoft,salesforce.com Sàrl,Switzerland - Zurich
Senior Java Developer,EPAM Systems (Switzerland) GmbH,Zurich
SAP-Projektleiter/in für Transformationsprojekte 80-100%,Eraneos Switzerland AG,Zurich
Application Manager – Private Markets – 80-100%,LGT Capital Partners AG,Pfaeffikon (Summelenweg)
Senior Fullstack Java Developer | Join our Talent Community,Dentsu International Switzerland AG,Geneva - 20 Quai Ernest - Ansermet
Senior Research Executive in the Innovation / Marketing Strategy & Understanding team in Geneva,IPSOS SA,Geneva
Principal Analysis Engineer,Beyond Gravity Schweiz AG,Waldibrücke
Lehrstelle als Kauffrau/Kaufmann EFZ (m/w/d) 100%,DHL Express (Schweiz) AG,Pratteln
No title available,No company available,No location available
No title available,Dentsu International Switzerland AG,Zürich - Giessereistrasse 18
(Senior) Manager - Finance Optimization - Basel or Zurich,Ernst & Young AG,Basel
ServiceNow - Solution Architect,DXC Technology Switzerland GmbH,Wallisellen
No title available,No company available,No location available
ServiceNow - Solution Consultant,DXC Technology Switzerland GmbH,Wallisellen
Ausbildung als Informatiker EFZ mit Fachrichtung Systemtechnik,SOCIETE GENERALE Private Banking (Suisse) SA,Luzern
Product Owner – Indices and Funds,Banque Lombard Odier & Cie SA,Genf
Senior Java Developer,EPAM Systems (Switzerland) GmbH,Zurich
Senior Backend Software Engineer (PL/SQL),Avaloq Group AG,Bioggio
Karrierestart / Praktikum in der Wirtschaftsprüfung mit regulatorischem Fokus (Financial Services),Ernst & Young AG,Zurich
PL/SQL Software Engineer - Payment & Custody,Avaloq Group AG,Bioggio
Requirements Engineer / Business Consultant (w/m/d) 60 - 100%,Bison Schweiz AG,Zürich
Senior Auditor (mit regulatorischem Fokus) in Zurich per Sommer 2025,Ernst & Young AG,Zurich
"Banking Management Analyst/Consultant (part-time possible, all genders)",Accenture,Zürich
"Product Owner Energie (m,w,d) 80 - 100%",Bison Schweiz AG,Zürich
ServiceNow - Technical Consultant,DXC Technology Switzerland GmbH,Wallisellen
"Trading & Risk Management Systems Specialist (part-time possible, all genders)",Accenture,Zürich
Senior Consultant (Tech Background) - Financial Services Business Consulting - TF Execution,Ernst & Young AG,Zurich
Product Owner – Customer Relationship Management (CRM),Banque Lombard Odier & Cie SA,Geneva
(Senior) Cyber Security Engineer,Exeon Analytics AG,Zürich
Test Automation Engineer - Ärztekasse,Ärztekasse Genossenschaft,Urdorf
No title available,No company available,No location available
No title available,IPSOS SA,Geneva
Senior DevOps Engineer (all genders) Baloise IT Services | 80-100%,Baloise Versicherung AG,Basel (Hauptsitz)
Research Assistant – Managing Exits from Armed Conflict (Resident) → UNIDIR,United Nations Institute for Disarmament Research,null
No title available,No company available,No location available
Triple'A / WealthSuite Expert,Capgemini Suisse SA,Geneva greater area
Data Manager (w/m/d) · 80% – 100%,Migros Industrie AG,Zürich
Systems Pharmacology Internship Animal-to-human scaling,LYO-X AG,Basel
GenAI & ML Engineer Underwriting (all genders) 70-100%,AXA Versicherungen AG,Winterthur
Senior Algorithm Developer,Sophia Genetics SA,Rolle
